"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","67.70","67.70","67.70","67.70","0.01K","0.00%"
"Dec 30, 2019","67.70","67.70","67.70","67.70","0.10K","1.73%"
"Dec 27, 2019","66.55","66.55","66.55","66.55","0.00K","0.08%"
"Dec 26, 2019","66.50","66.50","66.50","66.50","-","0.00%"
"Dec 24, 2019","66.50","66.50","66.50","66.50","0.01K","1.06%"
"Dec 23, 2019","65.80","65.80","65.80","65.80","0.00K","-0.83%"
"Dec 20, 2019","66.35","66.40","66.40","66.40","0.01K","-0.15%"
"Dec 19, 2019","66.45","66.55","66.55","66.55","0.01K","0.38%"
"Dec 18, 2019","66.20","66.20","66.20","66.20","0.02K","0.46%"
"Dec 17, 2019","65.90","65.90","65.90","65.90","0.01K","-0.83%"
"Dec 16, 2019","66.45","66.45","66.45","66.45","0.01K","0.23%"
"Dec 13, 2019","66.30","66.30","66.30","66.30","0.00K","-0.30%"
"Dec 12, 2019","66.50","66.15","66.15","66.15","0.03K","0.61%"
"Dec 11, 2019","66.10","66.10","66.10","66.10","0.02K","0.15%"
"Dec 10, 2019","66.00","66.00","66.00","66.00","0.01K","-0.30%"
"Dec 09, 2019","66.20","66.25","66.30","66.00","0.03K","-0.30%"
"Dec 06, 2019","66.40","66.40","66.40","66.40","0.03K","-0.23%"
"Dec 05, 2019","66.55","66.55","66.55","66.55","0.07K","-0.37%"
"Dec 04, 2019","66.80","67.10","67.10","67.00","0.01K","-0.89%"
"Dec 03, 2019","67.40","67.40","67.40","67.40","0.01K","-0.30%"
"Dec 02, 2019","67.60","67.75","67.75","67.50","0.02K","-0.37%"
"Nov 29, 2019","67.85","67.85","67.85","67.85","0.04K","0.59%"
"Nov 28, 2019","67.45","67.45","67.45","67.45","0.01K","-0.44%"
"Nov 27, 2019","67.75","67.75","67.75","67.75","0.06K","0.52%"
"Nov 26, 2019","67.40","67.40","67.40","67.40","0.03K","0.97%"
"Nov 25, 2019","66.75","66.75","66.75","66.75","0.03K","-1.69%"
"Nov 22, 2019","67.90","67.90","67.90","67.90","0.02K","0.52%"
"Nov 21, 2019","67.55","67.55","67.55","67.55","0.02K","0.15%"
"Nov 20, 2019","67.45","67.45","67.45","67.45","0.02K","0.07%"
"Nov 19, 2019","67.40","67.40","67.40","67.40","0.03K","-0.15%"
"Nov 18, 2019","67.50","67.50","67.50","67.50","0.04K","0.52%"
"Nov 15, 2019","67.15","67.15","67.15","67.15","0.01K","0.67%"
"Nov 14, 2019","66.70","66.80","66.80","66.80","0.01K","0.00%"
"Nov 13, 2019","66.70","66.70","66.70","66.70","0.03K","0.23%"
"Nov 12, 2019","66.55","66.55","66.55","66.55","0.03K","-0.60%"
"Nov 11, 2019","66.95","66.95","66.95","66.95","0.10K","0.22%"
"Nov 08, 2019","66.80","66.25","66.25","66.25","0.05K","0.53%"
"Nov 07, 2019","66.45","66.50","66.50","66.50","0.00K","-0.15%"
"Nov 06, 2019","66.55","66.55","66.55","66.55","0.01K","-0.89%"
"Nov 05, 2019","67.15","67.15","67.15","67.15","0.01K","-0.30%"
"Nov 04, 2019","67.35","67.35","67.35","67.35","0.02K","0.15%"
"Nov 01, 2019","67.25","67.25","67.25","67.25","-","0.52%"
"Oct 31, 2019","66.90","67.10","67.10","67.10","0.03K","-0.07%"
"Oct 30, 2019","66.95","67.00","67.00","67.00","0.02K","0.00%"
"Oct 29, 2019","66.95","66.95","66.95","66.95","0.08K","0.15%"
"Oct 28, 2019","66.85","67.00","67.00","66.60","0.02K","-1.18%"
"Oct 25, 2019","67.65","67.65","67.65","67.65","0.05K","0.59%"
"Oct 24, 2019","67.25","67.25","67.25","67.25","0.04K","0.37%"
"Oct 23, 2019","67.00","67.00","67.00","67.00","0.03K","-0.67%"
"Oct 22, 2019","67.45","67.45","67.45","67.45","0.07K","-0.22%"
"Oct 21, 2019","67.60","67.60","67.60","67.60","0.02K","0.15%"
"Oct 18, 2019","67.50","67.50","67.50","67.50","0.04K","-0.07%"
"Oct 17, 2019","67.55","67.55","67.55","67.55","0.02K","0.37%"
"Oct 16, 2019","67.30","67.30","67.30","67.30","0.04K","0.60%"
"Oct 15, 2019","66.90","66.90","66.90","66.90","0.03K","0.57%"
"Oct 14, 2019","66.52","66.52","66.52","66.52","0.02K","0.18%"
"Oct 11, 2019","66.40","66.95","66.95","66.95","0.05K","-1.48%"
"Oct 10, 2019","67.40","67.40","67.40","67.40","0.02K","-0.07%"
"Oct 09, 2019","67.45","67.50","67.50","67.50","0.04K","0.82%"
"Oct 08, 2019","66.90","66.90","66.90","66.90","0.04K","0.68%"
"Oct 07, 2019","66.45","66.25","66.25","66.25","0.02K","1.92%"
"Oct 04, 2019","65.20","65.20","65.20","65.20","0.02K","0.62%"
"Oct 03, 2019","64.80","65.25","65.25","65.25","0.07K","-2.19%"
"Oct 02, 2019","66.25","66.75","66.75","66.75","0.09K","-1.71%"
"Oct 01, 2019","67.40","68.00","68.00","67.50","0.14K","-3.78%"
"Sep 30, 2019","70.05","68.15","68.30","68.15","0.17K","6.86%"
"Sep 27, 2019","65.55","65.55","65.55","65.55","0.02K","0.61%"
"Sep 26, 2019","65.15","65.15","65.15","65.15","0.02K","-0.38%"
"Sep 25, 2019","65.40","65.40","65.40","65.40","0.02K","0.31%"
"Sep 24, 2019","65.20","65.20","65.20","65.20","0.01K","-0.23%"
"Sep 23, 2019","65.35","65.35","65.35","65.35","0.01K","-0.15%"
"Sep 20, 2019","65.45","65.45","65.45","65.45","0.00K","-0.15%"
"Sep 19, 2019","65.55","65.55","65.55","65.55","0.02K","0.31%"
"Sep 18, 2019","65.35","65.35","65.35","65.35","0.03K","-0.38%"
"Sep 17, 2019","65.60","66.25","66.25","66.00","0.03K","-0.83%"
"Sep 16, 2019","66.15","66.00","66.25","66.00","0.01K","0.68%"
"Sep 13, 2019","65.70","66.15","66.15","66.15","0.01K","0.31%"
"Sep 12, 2019","65.50","65.50","65.50","65.50","0.03K","0.23%"
"Sep 11, 2019","65.35","65.35","65.35","65.35","0.01K","-0.68%"
"Sep 10, 2019","65.80","65.50","66.40","65.40","0.14K","0.38%"
"Sep 09, 2019","65.55","65.55","65.55","65.55","0.03K","-1.06%"
"Sep 06, 2019","66.25","66.25","66.25","66.25","0.07K","-0.97%"
"Sep 05, 2019","66.90","66.75","66.75","66.75","0.08K","0.83%"
"Sep 04, 2019","66.35","66.20","66.50","66.10","0.07K","-0.23%"
"Sep 03, 2019","66.50","65.25","66.50","65.25","0.10K","2.23%"
"Sep 02, 2019","65.05","65.05","65.05","65.05","0.05K","-1.06%"
"Aug 30, 2019","65.75","65.75","65.75","65.75","0.02K","0.69%"
