"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19","67.70","67.75","67.75","66.00","0.33K","-0.22%"
"Nov 19","67.85","66.50","66.80","66.25","0.18K","1.42%"
"Oct 19","66.90","68.00","68.00","65.25","0.72K","-4.50%"
"Sep 19","70.05","65.25","68.30","65.25","0.78K","6.54%"
"Aug 19","65.75","68.90","68.90","67.50","0.13K","-5.33%"
"Jul 19","69.45","75.20","75.20","69.30","1.08K","-2.05%"
"Jun 19","70.90","75.30","75.30","71.90","0.43K","-14.99%"
"May 19","83.40","87.00","87.30","84.65","0.14K","-4.47%"
"Apr 19","87.30","81.50","87.10","81.50","0.68K","-5.88%"
"Mar 19","92.75","97.60","98.00","95.60","0.55K","-3.44%"
"Feb 19","96.05","98.50","98.60","93.50","0.88K","-2.98%"
"Jan 19","99.00","99.00","99.10","98.70","1.14K","-2.99%"
"Dec 18","102.05","102.20","102.20","101.60","0.12K","0.34%"
"Nov 18","101.70","104.00","105.75","103.50","0.20K","-3.33%"
"Oct 18","105.20","114.00","114.00","110.00","0.71K","-7.60%"
"Sep 18","113.85","114.90","115.25","114.75","0.31K","-3.52%"
"Aug 18","118.00","118.10","118.40","116.00","0.38K","0.38%"
"Jul 18","117.55","115.70","116.20","115.20","0.85K","2.75%"
"Jun 18","114.40","112.00","116.00","112.00","0.37K","3.86%"
"May 18","110.15","101.45","110.50","101.30","0.60K","10.81%"
"Apr 18","99.40","93.40","93.40","92.70","1.30K","3.11%"
"Mar 18","96.40","103.00","103.00","96.90","0.35K","-7.53%"
"Feb 18","104.25","104.40","107.15","103.50","0.49K","-0.10%"
"Jan 18","104.35","105.00","109.65","105.00","0.72K","3.52%"
"Dec 17","100.80","97.70","97.70","97.70","0.04K","4.13%"
"Nov 17","96.80","96.00","97.00","96.00","0.10K","-3.10%"
"Oct 17","99.90","97.00","99.50","96.50","0.54K","2.72%"
"Sep 17","97.25","96.50","101.00","96.50","0.21K","2.05%"
"Aug 17","95.30","95.30","95.30","95.30","0.26K","2.25%"
"Jul 17","93.20","91.75","94.00","91.75","1.08K","15.06%"
"Jun 17","81.00","74.00","78.00","74.00","0.25K","10.28%"
"May 17","73.45","73.60","74.65","73.60","0.79K","-12.09%"
"Apr 17","83.55","90.40","90.40","90.40","1.52K","3.47%"
"Mar 17","80.75","82.90","82.90","80.35","1.07K","-3.24%"
"Feb 17","83.45","83.50","83.50","83.50","0.63K","0.54%"
"Jan 17","83.00","83.00","83.00","83.00","0.82K","-6.11%"
"Dec 16","88.40","88.40","88.40","88.40","0.38K","1.09%"
"Nov 16","87.45","115.00","115.00","108.00","1.15K","-19.48%"
"Oct 16","108.60","108.60","108.60","108.60","0.54K","50.42%"
"Sep 16","72.20","72.20","72.20","72.20","0.33K","5.02%"
"Aug 16","68.75","69.00","69.00","69.00","0.35K","12.43%"
"Jul 16","61.15","61.15","61.15","61.15","0.18K","7.37%"
"Jun 16","56.95","56.95","56.95","56.95","0.40K","6.45%"
"May 16","53.50","53.50","53.50","53.50","0.24K","5.42%"
"Apr 16","50.75","50.75","50.75","50.75","0.12K","-0.68%"
"Mar 16","51.10","51.10","51.10","51.10","0.80K","1.19%"
"Feb 16","50.50","50.50","50.50","50.50","1.30K","3.48%"
"Jan 16","48.80","48.80","48.80","48.80","0.77K","-3.56%"
"Dec 15","50.60","50.60","50.60","50.60","1.10K","-5.51%"
"Nov 15","53.55","53.55","53.55","53.55","0.54K","0.94%"
"Oct 15","53.05","53.05","53.05","53.05","0.26K","-1.49%"
"Sep 15","53.85","53.85","53.85","53.85","1.29K","-7.95%"
"Aug 15","58.50","58.50","58.50","58.50","0.33K","-2.99%"
"Jul 15","60.30","60.30","60.30","60.30","0.40K","-0.82%"
"Jun 15","60.80","60.80","60.80","60.80","0.21K","1.25%"
"May 15","60.05","60.05","60.05","60.05","0.03K","-3.22%"
"Apr 15","62.05","62.05","62.05","62.05","1.19K","9.24%"
"Mar 15","56.80","56.80","56.80","56.80","0.24K","-20.06%"
"Feb 15","71.05","71.05","71.05","71.05","0.33K","13.77%"
"Jan 15","62.45","62.45","62.45","62.45","0.34K","0.24%"
"Dec 14","62.30","62.30","62.30","62.30","0.29K","-1.81%"
"Nov 14","63.45","63.45","63.45","63.45","0.23K","-1.32%"
"Oct 14","64.30","64.30","64.30","64.30","0.31K","-0.54%"
"Sep 14","64.65","64.65","64.65","64.65","1.65K","-6.64%"
"Aug 14","69.25","69.25","69.25","69.25","0.11K","0.44%"
"Jul 14","68.95","68.95","68.95","68.95","1.23K","-3.02%"
"Jun 14","71.10","71.10","71.10","71.10","0.35K","-3.79%"
"May 14","73.90","73.90","73.90","73.90","0.12K","0.75%"
"Apr 14","73.35","73.35","73.35","73.35","0.42K","-1.61%"
"Mar 14","74.55","74.55","74.55","74.55","0.33K","-3.87%"
"Feb 14","77.55","77.55","77.55","77.55","0.15K","-5.83%"
"Jan 14","82.35","82.35","82.35","82.35","0.03K","-5.62%"
"Dec 13","87.25","87.25","87.25","87.25","0.16K","3.19%"
"Nov 13","84.55","84.55","84.55","84.55","0.05K","0.48%"
"Oct 13","84.15","84.15","84.15","84.15","0.39K","6.32%"
"Sep 13","79.15","79.15","79.15","79.15","0.14K","0.76%"
"Aug 13","78.55","78.55","78.55","78.55","0.11K","1.95%"
"Jul 13","77.05","77.05","77.05","77.05","0.10K","-7.17%"
"Jun 13","83.00","83.00","83.00","83.00","0.27K","-5.36%"
"May 13","87.70","87.70","87.70","87.70","0.16K","0.80%"
"Apr 13","87.00","87.00","87.00","87.00","0.32K","-4.03%"
"Mar 13","90.65","90.65","90.65","90.65","0.41K","-3.82%"
"Feb 13","94.25","94.25","94.25","94.25","0.55K","-1.00%"
"Jan 13","95.20","95.20","95.20","95.20","0.20K","1.55%"
"Dec 12","93.75","93.75","93.75","93.75","0.17K","9.14%"
"Nov 12","85.90","85.90","85.90","85.90","0.28K","2.75%"
"Oct 12","83.60","83.60","83.60","83.60","0.36K","-6.59%"
"Sep 12","89.50","89.50","89.50","89.50","0.38K","-2.45%"
"Aug 12","91.75","91.75","91.75","91.75","0.01K","1.77%"
"Jul 12","90.15","90.15","90.15","90.15","0.16K","1.98%"
"Jun 12","88.40","88.40","88.40","88.40","0.01K","-3.34%"
"May 12","91.45","91.45","91.45","91.45","0.12K","-9.23%"
"Apr 12","100.75","100.75","100.75","100.75","0.22K","-5.84%"
"Mar 12","107.00","107.00","107.00","107.00","0.16K","-4.55%"
"Feb 12","112.10","112.10","112.10","112.10","0.19K","-4.56%"
"Jan 12","117.45","117.45","117.45","117.45","0.09K","4.63%"
