"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2019","67.50","67.50","67.50","67.25","0.27K","1.43%"
"Dec 22, 2019","66.55","66.55","66.55","66.55","0.00K","0.30%"
"Dec 15, 2019","66.35","66.45","66.55","66.40","0.02K","0.08%"
"Dec 08, 2019","66.30","66.25","66.30","66.00","0.06K","-0.15%"
"Dec 01, 2019","66.40","67.75","67.75","67.00","0.13K","-2.14%"
"Nov 24, 2019","67.85","67.85","67.85","67.85","0.16K","-0.07%"
"Nov 17, 2019","67.90","67.90","67.90","67.90","0.12K","1.12%"
"Nov 10, 2019","67.15","66.80","66.80","66.80","0.13K","0.52%"
"Nov 03, 2019","66.80","66.50","66.50","66.25","0.06K","-0.67%"
"Oct 27, 2019","67.25","67.00","67.10","66.60","0.14K","-0.59%"
"Oct 20, 2019","67.65","67.65","67.65","67.65","0.20K","0.22%"
"Oct 13, 2019","67.50","67.50","67.50","67.50","0.09K","1.66%"
"Oct 06, 2019","66.40","66.25","67.50","66.25","0.17K","1.84%"
"Sep 29, 2019","65.20","68.15","68.30","65.25","0.48K","-0.53%"
"Sep 22, 2019","65.55","65.55","65.55","65.55","0.07K","0.15%"
"Sep 15, 2019","65.45","66.00","66.25","66.00","0.03K","-0.38%"
"Sep 08, 2019","65.70","65.50","66.40","65.40","0.22K","-0.83%"
"Sep 01, 2019","66.25","65.25","66.75","65.25","0.36K","0.76%"
"Aug 25, 2019","65.75","65.75","65.75","65.75","0.10K","0.00%"
"Aug 18, 2019","65.75","65.75","65.75","65.75","0.11K","-0.83%"
"Aug 11, 2019","66.30","66.30","66.30","66.30","0.13K","-2.28%"
"Aug 04, 2019","67.85","68.10","68.35","67.50","0.06K","-1.88%"
"Jul 28, 2019","69.15","72.25","72.25","68.90","0.29K","-6.87%"
"Jul 21, 2019","74.25","74.85","74.85","74.00","0.09K","0.20%"
"Jul 14, 2019","74.10","74.10","74.10","74.10","0.17K","-0.67%"
"Jul 07, 2019","74.60","75.20","75.20","75.00","0.28K","-2.10%"
"Jun 30, 2019","76.20","76.20","76.20","76.20","0.31K","7.48%"
"Jun 23, 2019","70.90","70.90","70.90","70.90","0.10K","-0.56%"
"Jun 16, 2019","71.30","71.30","71.30","71.30","0.09K","-0.14%"
"Jun 09, 2019","71.40","72.80","72.80","71.90","0.11K","-1.92%"
"Jun 02, 2019","72.80","75.30","75.30","72.50","0.23K","-12.71%"
"May 26, 2019","83.40","83.40","83.40","83.40","0.04K","-0.30%"
"May 19, 2019","83.65","83.65","83.65","83.65","0.00K","-0.54%"
"May 12, 2019","84.10","85.50","85.60","84.65","0.01K","-2.38%"
"May 05, 2019","86.15","86.75","87.00","86.10","0.04K","-1.66%"
"Apr 28, 2019","87.60","86.75","87.30","86.50","0.13K","2.82%"
"Apr 21, 2019","85.20","85.20","85.20","85.20","0.01K","0.89%"
"Apr 14, 2019","84.45","84.45","84.45","84.45","0.01K","0.30%"
"Apr 07, 2019","84.20","81.50","82.00","81.50","0.12K","6.79%"
"Mar 31, 2019","78.85","78.85","78.85","78.85","0.49K","-14.99%"
"Mar 24, 2019","92.75","92.75","92.75","92.75","0.12K","-0.59%"
"Mar 17, 2019","93.30","93.30","93.30","93.30","0.01K","-0.59%"
